"puma","sba_display","sba_name"
3701,"BX 06","Riverdale/Kingsbridge"
3702,"BX 10","Williamsbridge/Baychester"
3703,"BX 08","Throgs Neck/Co-op City"
3704,"BX 09","Pelham Parkway"
4014,"BK 12","Borough Park"
3705,"BX 02","Morrisania/Belmont"
3706,"BX 05","Kingsbridge Heights/Mosholu"
3707,"BX 04","University Heights/Fordham"
3709,"BX 07","Soundview/Parkchester"
3710,"BX 01","Mott Haven/Hunts Point"
3801,"MN 10","Washington Heights/Inwood"
4015,"BK 14","Flatbush"
4016,"BK 15","Sheepshead Bay/Gravesend"
3802,"MN 07","Morningside Heights/Hamilton Heights"
4006,"BK 08","North Crown Heights/Prospect Heights"
3803,"MN 08","Central Harlem"
3804,"MN 09","East Harlem"
4011,"BK 09","South Crown Heights"
4012,"BK 07","Sunset Park"
3805,"MN 06","Upper East Side"
3806,"MN 05","Upper West Side"
3807,"MN 03","Chelsea/Clinton/Midtown"
3809,"MN 02","Lower East Side/Chinatown"
3810,"MN 01","Greenwich Village/Financial District"
3901,"SI 03","South Shore"
3903,"SI 01","North Shore"
4001,"BK 01","Williamsburg/Greenpoint"
4002,"BK 04","Bushwick"
4003,"BK 03","Bedford Stuyvesant"
4005,"BK 06","Park Slope/Carroll Gardens"
4007,"BK 16","Brownsville/Ocean Hill"
4008,"BK 05","East New York/Starrett City"
4010,"BK 17","East Flatbush"
4013,"BK 10","Bay Ridge"
4017,"BK 11","Bensonhurst"
4018,"BK 13","Coney Island"
4101,"QN 01","Astoria"
4103,"QN 07","Flushing/Whitestone"
4104,"QN 11","Bayside/Little Neck"
4105,"QN 13","Queens Village"
4106,"QN 08","Hillcrest/Fresh Meadows"
4107,"QN 04","Elmhurst/Corona"
4108,"QN 06","Rego Park/Forest Hills"
3708,"BX 03","Highbridge/South Concourse"
4110,"QN 05","Middle Village/Ridgewood"
4111,"QN 09","Ozone Park/Woodhaven"
4112,"QN 12","Jamaica"
4113,"QN 10","South Ozone Park/Howard Beach"
4114,"QN 14","Rockaways"
3902,"SI 02","Mid-Island"
4009,"BK 18","Flatlands/Canarsie"
3808,"MN 04","Stuyvesant Town/Turtle Bay"
4004,"BK 02","Brooklyn Heights/Fort Greene"
4102,"QN 03","Jackson Heights"
4109,"QN 02","Sunnyside/Woodside"
